,Project ID,name,long,lat,First Year of Project,Type,Country
1623,2372043,Renewable Solar Power Project by Adani,73.224444,27.396111,2019,Solar - Centralized,India
1624,2372044,Renewable Wind Power Project by Torrent Power,71.172747,22.27942,,Wind,India
1625,2372047,20 MW Capacity Biomass based Power Project of M/s. SHALIVAHANA GREEN ENERGY LIMITED,20.776389,85.218889,,Biomass,India
1626,2372033,3.5 MW Small Hydro Project In Himachal Pradesh,77.064722,31.959167,2018,Hydropower,India
1627,2372036,OUARZAZATE IV CONCENTRATED SOLAR POWER PROJECT,-6.869181,31.017004,,Solar - Centralized,Morocco
1628,2372011,Huaneng Liaoning Fuxin Phase II Wind Farm Project,121.568888,42.310275,,Wind,China
1630,2372039,Badamsha 2 Wind Farm in Kazakhstan,57.59,48.46,,Wind,Kazakhstan
1631,2372040,Vinh Hao 6 Solar Power Project,108.75,11.3,,Solar - Centralized,Vietnam
1632,2372031,ReNew Power bundled Wind Project,69.7,23.216667,,Wind,India
1633,2372032,300 MW Solar Project by Avaada in Gujarat (India),71.636667,22.727773,,Solar - Centralized,India
1634,2372034,IBRI II Solar Independent Power Project,56.24,23.37,,Solar - Centralized,Oman
1635,2372037,Bundled Solar PV Rooftop Project by MAS - Phase I,80.106386,6.731976,,Solar - Distributed,Sri Lanka
1636,2371987,GENNEIA WIND PROJECTS IN ARGENTINA,-65.06,-43.174,2018,Wind,Argentina
1637,237174,Shilong Small-Scale Hydro Power Project,101.27,27.007222,2006,Hydropower,China
1638,2372022,Huaneng Daqing Wukeshu Wind Farm Project,124.4175,46.197775,,Wind,China
1639,2372025,Huaneng Tuokexun Baiyanghe Third Stage 49.5MW Wind Farm Project,88.597776,43.080556,,Wind,China
1640,2372028,100 MW Solar Project by Avaada in UP (India),82.563889,25.132777,,Solar - Centralized,India
1641,2372029,Huaneng Daqing Heping Wind Farm Project,124.473888,46.258056,,Wind,China
1642,2372023,Renewable Solar Power Project By Rishabh Renergy,76.086999,14.797666,2018,Solar - Centralized,India
1643,2372026,Allain Duhangan Hydroelectric Project (ADHP),77.208888,32.225833,2016,Wind,India
1645,2372024,Nam Si Luong 1 hydropower project,102.832222,22.445277,,Hydropower,Vietnam
1646,2372016,Grouped Solar Projects in Jordan,36.518,31.525,,Solar - Centralized,Jordan
1647,2372017,Karnataka Pavagada-II Solar Project by Avaada (150 MW),75.832774,14.666669,2019,Solar - Centralized,India
1648,2372018,Santana Renewable Energy,-36.658527,-6.100305,,Wind,Brazil
1649,2372021,Gravier Renewable Energy1,-37.336272,-4.77193,,Wind,Brazil
1650,2372009,Renewable Energy Generation at Hamira,75.4325,31.456388,,Biomass,India
1652,2372013,Jilin Tongyu Huaneng 100.5MW Wind Power Project,122.060276,44.228056,,Wind,China
1653,2372015,Renewable Solar Photovoltaic Project by ACME Group,81.55,24.49,,Solar - Centralized,India
1654,2372014,50 MW SOLAR PROJECT BY AVAADA IN UP (INDIA),79.120544,28.033709,,Solar - Centralized,India
1655,2372019,"100 MW grid connected Wind Power project in Jamnagar Gujarat, India",70.056944,22.470268,,Wind,India
1656,2372020,250 MW Wind Power Project by Mytrah Energy,77.916667,8.966666,2019,Solar - Centralized,India
1657,237537,Wind based renewable energy project in Gujarat,70.359861,22.087805,2008,Wind,India
1658,2371077,Cerro de Hula Wind Project,-87.2667,13.9333,2012,Wind,Honduras
1659,2372003,Benban Solar PV Project Plot 3_1,32.705153,24.446988,2019,Solar - Centralized,Egypt
1660,2372007,Benban Solar PV Project Plot 43_4,32.742193,24.406757,2019,Solar - Centralized,Egypt
1661,2372008,Benban Solar PV Project Plot 42_4,32.749663,24.411424,2019,Solar - Centralized,Egypt
1662,2371997,TROPICAL WIND IN THAILAND,101.462373,15.327761,2018,Wind,Thailand
1663,2371998,Cerro Dominador Concentrated Solar Power Project,-69.479399,-22.771744,,Solar - Centralized,Chile
1664,2371999,KRISSANA WIND POWER IN THAILAND,101.476877,15.091541,2018,Wind,Thailand
1665,2372002,THEPARAK WIND IN THAILAND,101.460692,15.242054,2018,Wind,Thailand
1667,2372001,K.R. ONE IN THAILAND,101.494231,15.205582,2019,Wind,Thailand
1668,237800,10.30 MW Grouped Wind Power Project in India.,74.32333,21.326388,,Wind,India
1669,2371996,GENNEIA SOLAR PROJECTS IN  ARGENTINA,-68.660266,-31.337333,2018,Solar - Centralized,Argentina
1670,2371992,ENERGY EFFICIENCY IN STEAM TURBINE GENERATOR SYSTEMS BY HZL,74.633866,24.131066,,,
1671,2371993,Bundled Wind Power project in Koppal Karnataka,76.128881,15.97,2018,Wind,India
1672,2371995,Folha Larga Sul Renewable Energy,-40.19,-10.3,,Solar - Centralized,Brazil
1673,2371994,PEBSA-Del Bicentenario Wind Farm,-67.034998,-47.2625,,Wind,Argentina
1674,2371985,"100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh",77.201667,14.46,2018,Wind,India
1676,2371986,"13 MW Grid Connected Dandela Mini Hydel Scheme, Karnataka State, India.",75.361665,12.954165,,Hydropower,India
1678,2371984,"40 MW Bundled Solar Project in Telangana, India",79.426,18.975,,Solar - Centralized,India
1679,2371979,"10 MW biomass based power generation project at Wani, Yavatmal by Shalivahana Projects Limited",79.033056,19.870556,,Biomass,India
1680,2371981,"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan",74.681,23.6257,,,
1681,2371982,Ngodwana Biomass to Energy Project,30.662842,-25.576883,,Biomass,South Africa
1682,2371983,Guangdong Taishan Shangchuandao Island Phase II Wind Farm Project,112.769998,21.605833,2011,Wind,China
1684,2371976,Renewable Solar Power Project by Shapoorji Pallonji,75.983889,21.026389,2018,Solar - Centralized,India
1685,2371978,"Malleco, Lomas de Duqueco and Negrete Wind Project, Chile",-72.844499,-37.30426,,Wind,Chile
1686,2371973,Huaneng Tongyu Tuanjie Phase E Wind Farm Project,122.3063,44.595,,Wind,China
1687,2371974,Srepok 1 Solar Power Project,107.83,12.808333,2019,Solar - Centralized,Vietnam
1688,2371975,Hong Phong 4 Solar 48 MW Project,108.3275,11.046666,2019,Solar - Centralized,Vietnam
1689,237202,Bom Jesus Ceramic Fuel Switching Project,-35.19,-7.89306,2007,Biomass,Brazil
1690,2371971,SAKAL SOLAR FARM,-16.227248,15.858665,2018,Solar - Centralized,Senegal
1691,2371972,Guangxi Longan Biomass Power Project,107.895555,23.068888,2019,Solar - Centralized,China
1692,2371970,Ventus Wind Farm in El Salvador,-89.15,14.15,,Wind,El Salvador
1693,237788,China Guangdong Shenzhen Qianwan LNG generation project,113.842777,22.515,,,
1694,2371967,"Wind Power Project at Tamil Nadu, India",77.49728,10.87356,,Wind,India
1695,2371966,Huaneng Gansu Huajialing 49.5MW Wind Power Project,104.972778,35.408889,,Wind,China
1696,237743,Pawan Urja Vistaran: Small entities combined wind power project in India - 2007,74.640277,17.294722,2007,Wind,India
1697,2371965,Cat Hiep Solar Power Project,109.019277,14.018666,2019,Solar - Centralized,Vietnam
1698,2371964,Quang Minh Solar Power Project,107.827033,12.813888,2019,Solar - Centralized,Vietnam
1699,2371962,Daan Laifu Wind Farm Phase II Project,123,45.57,2016,Wind,China
1701,237175,Siliping Small-Scale Hydro Power Project,101.203611,27.023611,2006,Hydropower,China
1702,2371961,"7 MW Hydel Based Power Unit on River Jatashankari, Chhattisgarh",82.416387,22.583054,,Hydropower,India
1703,2371958,My Son - Hoan Loc Viet Solar Energy Project,108.814999,11.664721,2019,Solar - Centralized,Vietnam
1704,2371959,Aussenkehr solar,17.767499,-28.698889,2017,Solar - Centralized,Namibia
1705,2371956,Shaanxi Chengcheng Biomass Power Project,109.55,35.09,,Biomass,China
1706,2371954,Badamsha Wind Farm in Kazakhstan.,58.1539,50.2924,2020,Wind,Kazakhstan
1709,2371952,Huaneng Tongyu Tuanjie Phase A Wind Farm Project,122.098331,44.618889,,Wind,China
1710,2371949,Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,23.8831,-30.7278,2017,Wind,South Africa
1711,2371950,Longyuan Mulilo De Aar 2 North Wind Energy Facility,24.262329,-30.53832,2017,Wind,South Africa
1712,237795,Dalmia Chini Mills Nigohi Project,79.868888,28.058056,2007,Biomass,India
1713,237809,Wind power project by AL â€“ Wind Energy in Tamilnadu,77.549722,8.966388,2007,Wind,India
1714,237522,Chile: Lircay Run-Of-River Project,-71.261447,-35.537316,2008,Hydropower,Chile
1717,237168,Bundled Wind Project Activity by M/s Bhagyanagar India Ltd and M/s Surana Telecom and Power Limited,75.762056,15.199861,2006,Wind,India
1718,2371946,Renewable Wind Power Project by Hero Future Energies,77.889999,14.5129,2019,Wind,India
1720,237392,Gansu Datang Yumen 49 MW Wind Power Project,40.179444,90,2006,Wind,China
1722,237424,"7.85 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India.",77.436972,10.602278,,Wind,India
1723,2371942,Renewable Solar Power Project by Hero Future Energies,75.7139,15.3173,,Solar - Centralized,India
1725,2371940,CECEP Gansu Yumen Changma Daba North Wind Farm Project.,96.7843,40.0841,2016,Wind,China
1726,2371939,CECEP Gansu Yumen Changma Daba South Wind Farm Project,96.7164,40.0143,2016,Wind,China
1727,2371937,Song Lo 4 Hydropower Project,104.908056,22.551944,2018,Hydropower,Vietnam
1728,2371909,Santa Ana Hydroelectric Plant,-74.04,4.42,2015,Hydropower,Colombia
1730,2371933,Mavibayrak Biomass Power Plant Project,27.437384,37.754357,2018,Biomass,Turkey
1731,2371931,Energising India using Solar Energy Projects,79.426389,25.8575,2017,Solar - Centralized,India
1732,237699,"Yiyang Xiushan Hydropower Project, P.R. China",112.183333,28.85,2007,Hydropower,China
1733,237455,Maraca Ceramic Fuel Switching Project,-49.465,-18.968889,2008,Biomass,Brazil
1734,237383,"7.4 MW Bundled grid-connected wind electricity generation project, Tamil Nadu, India",77.05422,10.56076,,Wind,India
1735,237797,Jingshan Kaidi Biomass Power Project,113.153333,31.003889,2010,Biomass,China
1736,2371293,"14.4 MW Grid Connected Wind Power Project of Vaibhavlaxmi Clean Energy in Madhya Pradesh and Tamil Nadu, India",75.159442,23.686388,2012,Wind,India
1737,2371926,Iota M. Firinci Solar Power Project,38.311111,38.454166,,Solar - Centralized,Turkey
1738,2371922,Amasya Solar Power Project,35.837347,40.656455,,Solar - Centralized,Turkey
1739,2371921,Van Solar Power Project,43.205833,38.384444,,Solar - Centralized,Turkey
1740,2371920,24.45 MW Biomass based project in Punjab,74.521388,30.428056,,Biomass,India
1741,2371924,Tokat Solar Power Project,36.625186,40.390271,,Solar - Centralized,Turkey
1742,2371923,Yaysun-MT Solar Power Project,34.18154,37.818611,,Solar - Centralized,Turkey
1743,2371925,ME-SE Solar Power Project,32.407777,38.34888,,Solar - Centralized,Turkey
1744,237955,Bundled Wind Energy Project in Indian States:- EnKing International 2006.,74.316665,21.30861,,Wind,India
1745,2371159,"14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan, India.",74.273611,21.29361,2011,Wind,India
1746,2371526,Wind energy project in different locations of India,77.549441,9.914167,,Wind,India
1748,2371001,Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project,107.528055,40.116943,2009,Wind,China
1750,2371915,Ombepo Wind,15.160277,-26.641667,2017,Wind,Namibia
1751,2371913,Erzurum Hinis Solar Power Plant,41.986389,39.5825,2019,Solar - Centralized,Turkey
1752,237789,Inner Mongolia Bayinxile Wind Power Project,112.813889,41.283333,2010,Wind,China
1753,2371912,Run-of-the-river Hydroelectric Power Project in Uttarakhand by Alaknanda Hydro Power Company Limited,78.833611,30.238888,,Hydropower,India
1756,2371908,"Denizli Wind Power Project, Turkey",28.773055,37.788888,,Wind,Turkey
1757,2371910,"Bionersis landfill project in Pasto, Colombia",-77.17,-1.12,,,
1758,2371905,Kocalar Wind Power Project,26.770277,40.1175,,Wind,Turkey
1759,2371906,Hasanoba Wind Power Project,26.350277,40.029166,,Wind,Turkey
1760,2371907,ÃœÃ§pinar Wind Power Project,26.62916,40.14583,,Wind,Turkey
1761,2371903,VTRM Renewable Energy 2,-40.631653,-8.012105,2017,Wind,Brazil
1762,2371902,Salvador da Bahia Landfill Gas Management Project,-38.5,-12.862,,,
1763,2371041,OAxaca IV Wind Energy Project,-94.789996,16.610059,2012,Wind,Mexico
1765,2371901,CECIC Zhangbei Gaojialiang Wind farm Project,114.2532,41.0231,,Wind,China
1769,2371043,Oaxaca II Wind Energy Project,-94.789184,16.583006,2012,Wind,Mexico
1770,2371891,Kishanganga Hydroelectric Project,74.641111,34.471389,2018,Hydropower,India
1771,2371890,Grid Connected Solar Energy Project,77.867778,16.444161,2017,Solar - Centralized,India
1772,237722,Guangdong Huizhou LNG Power Generation Project,114.604444,22.759444,,,
1774,2371885,Ejuva One and Ejuva Two Solar Projects,18.970266,-22.435278,2017,Solar - Centralized,Namibia
1775,2371886,Nanyang Danjiang River Solar Cooker Project Phase I,33.2323,10.979,2014,Solar Cookers,China
1776,2371887,Nanyang Danjiang River Solar Cooker Project Phase II,111.2125,32.9678,2014,Solar Cookers,China
1778,237700,Wind power project at Tamilnadu by Powerica Limited,77.483056,9.016389,2009,Wind,India
1780,237447,"12.5 MW Bundled grid-connected wind electricity generation project in Karnataka, India",75.915139,14.964,2006,Wind,India
1781,2371879,"Adavikanda, Kuruwita Division Mini Hydro Power Project",80.423889,6.831665,2016,Hydropower,Sri Lanka
1782,2371877,Thangarabalu Small Hydel Project at Karnataka,76.468056,16.275278,2015,Hydropower,India
1783,2371878,"Bundled renewable energy project in Gujarat and Karnataka, India",75.725278,16.535278,,Wind,India
1784,2371875,Guangxi Fusui Qiquan biomass power generation project,107.811109,22.541667,2018,Biomass,China
1785,237311,"12.15 MW Wind Power Project located at Kutch, Gujarat",68.878333,23.045833,,Wind,India
1787,2371874,Zhangjiakou Chabei Wind Farm Project,114.8158,41.4596,2012,Wind,China
1790,2371867,Ningxia Xiangshan Wind Farm Project,107.3237,38.2341,2017,Wind,China
1792,2371364,Hydroelectric Project PCH Luzma,-75.046419,6.973251,2017,Hydropower,Colombia
1795,2371163,Wind Power Project in Tirupur District,77.238056,10.704162,2013,Wind,India
1796,2371861,3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd,76.191389,32.191108,2019,Hydropower,India
1797,2371859,Heqing Solar Cooker Project II,100.155556,39.147778,2016,Solar Cookers,China
1798,2371860,Heqing Solar Cooker Project I,100.4031,38.7981,2016,Solar Cookers,China
1799,2371210,Green Energy Project at Kutch by Powerica Limited,70.590277,23.197776,2013,Wind,India
1800,237701,Wind power project at Gujarat by Powerica Limited,70.629989,23.186944,2010,Wind,India
1801,2371161,Bali Landfill Gas Recovery to Electricity Project,121.37018,25.13167,,,
1802,237391,"Gullubag 96 MW Hydro Electric Power Plant Project, Turkey",41.033056,40.516387,2012,Hydropower,Turkey
1803,2371856,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,77.740112,16.04804,2017,Wind,India
1805,2371854,20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT,76.048889,15.250277,2018,Solar - Centralized,India
1806,2371853,9.9 MW Wind Power Project by KPL International Ltd. in Gujarat,70.904238,23.102692,2017,Wind,India
1807,237794,Dahao Wind Power Project,116.803333,23.246944,2009,Wind,China
1808,237564,"12 MW Grid connected Wind Power Project, Gujarat State, India",68.939444,23.068611,2008,Wind,India
1810,2371214,Vajrakarur Wind Power Project in Andhra Pradesh,77.291387,15.00111,2012,Wind,India
1811,237728,CECIC Gansu Yumen Changma No.3 Wind Farm Project,96.772777,40.094166,2011,Wind,China
1812,2371850,Pesqueiro Energia Small Hydroelectric Project (PESHP),-49.725,-24.25861,2013,Hydropower,Brazil
1813,2371849,"Ranchland Solar, LLC",-76.16,36.47,,Solar - Centralized,United States
1816,237310,10 MW Bundled Wind Power Project by Era Infra Engineering Limited,74.983,17.133333,,Wind,India
1817,2371482,"Wind Energy Project in Harapanahalli, Karnataka",75.843471,14.805694,2011,Wind,India
1818,2371845,30 MW SOLAR BY AVAADA SUSTAINABLE ENERGY PVT LTD â€“ HANAGAL.,76.741667,14.718889,,Solar - Centralized,India
1819,2371846,30 MW SOLAR BY SOLARSYS NON CONVENTIONAL ENERGY PVT. LTD. - BANAVIKAL.,76.389167,14.903889,,Solar - Centralized,India
1820,2371842,100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.,72.931111,26.288889,2018,Solar - Centralized,India
1821,2371841,Santa Teresa Hydropower Plant,-72.5791,-13.1433,,Hydropower,Peru
1822,237410,"6.85 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India",76.355997,14.073692,,Wind,India
1823,2371140,Henan Xinxiang 24MW Biomass based Cogeneration Project,113.510833,35.330277,2009,Biomass,China
1824,23729,Gansu Zhouqu Shimenping 15 MW Hydropower Station Project,104.474722,33.698333,2006,Hydropower,China
1825,2371839,CECIC HKC Danjinghe Wind Farm Project,114.26,41.051,2015,Wind,China
1826,2371838,Renewable Energy Wind Power Project in Karnataka,75.37,15.21,,Wind,India
1827,237693,"Erkenek 12 MW Hydropower Plant, Turkey",37.808332,37.908056,2009,Hydropower,Turkmenistan
1828,2371834,60 MW Solar by Solarsys Non Conventional Energy Pvt. Ltd. - Ilkal.,76.125,15.961109,,Solar - Centralized,India
1829,2371835,Caruquia 9.76 MW Hydroelectric Project,-75.336666,6.642777,2010,Hydropower,Colombia
1830,2371197,Chakala Wind Power Project in Maharashtra,74.308329,21.28111,2013,Wind,India
1831,2371207,Sinner Wind Power Project in Maharashtra,73.921109,19.816666,2012,Wind,India
1833,237158,Menegalli Ceramic Fuel Switching Project,-47.481853,-1.627667,2008,Biomass,Brazil
1834,2371521,Wind Based Power Generation by Mytrah Energy (India) Limited (EKIESL-VCS-January-16-01),77.655525,10.69643,2014,Wind,India
1835,2371827,Mahuangliang Wind Project,110.069165,38.424165,,Wind,China
1836,2371828,"Biomass based independent power project at Malwa Power Private Limited, Mukatsar, Punjab",74.716389,30.5,,Biomass,India
1837,2371829,"Biomass based power project in Punjab, India",74.351665,30.232776,,Biomass,India
1838,2371830,Wind Power Project at Theni by Powerica Limited,77.55861,9.950272,2012,Wind,India
1839,237577,AYRANCILAR HYDROELECTRIC POWER PLANT,43.760553,39.050277,,Hydropower,Turkey
1841,2371823,"21.8 MW Wind Power Project at Jangi Vandhiya, Gujarat by Powerica Limited",70.574167,23.211389,2014,Wind,India
1842,2371822,10 MW wind power project by Powerica at BDS - Gujarat,69.389167,22.215277,2017,Wind,India
1843,2371819,"19.2 MWp Solar Power Project by HZL at Debari and Dariba, Rajasthan",74.116388,24.959167,2017,Solar - Centralized,India
1844,2371820,Manantiales Behr Wind Farm,-67.78,-45.669,2018,Wind,Argentina
1845,23732,Luara Ceramic Fuel Switching Project,-51.861261,-21.35334,2006,Biomass,Brazil
1846,237949,Guodian Linghai Qingsong Wind Farm Project,121,40,,Wind,China
1847,2371134,52.50 MW Wind energy farm at Mokla Rajasthan by HZL,70.700277,27.155555,2011,Wind,India
1848,2371816,Wind power project in Tirunelveli Tamilnadu,77.37,8.53,2018,Wind,India
1849,2371814,"Wind Power Project in Gujarat, India",69.08,23.021,,Wind,India
1850,2371815,Renewable Solar Power Project by Adani Green Energy Limited,81.8661,21.2787,2017,Solar - Centralized,India
1851,237344,Wind power project by HZL in Gujarat.,70.683333,21.8,2009,Wind,India
1852,237120,Aydin Salavatli Dora-1 Geothermal Power Plant,28.109305,37.88968,2008,Geothermal,Turkey
1853,237910,"Wind energy project in Samana, Gujarat and Saundatti, Karnataka",70.336939,22.105554,2010,Wind,India
1854,2371136,25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL,74.30861,21.302499,2011,Wind,India
1855,2371324,Lighting up Africa,35.143267,-7.379287,,Solar Lighting,South Africa
1856,2371808,"Ruso Wind Partners, LLC",-101.080556,47.902777,,Wind,United States
1857,237746,Pawan Urja Vistaran: Small entities combined wind power project in India - 2004,76.517499,13.683055,2007,Wind,India
1858,237436,Bundled Wind Power Project structured by KKSK,77.567111,8.226056,2006,Wind,India
1859,2371805,Solar Energy Project(s) by SB Energy Private Limited,78.283456,15.683618,2017,Solar - Centralized,India
1860,2371804,Combio Renewable Biomass Project - TrÃªs Marias,-45.236389,-18.185278,2017,Biomass,Brazil
1861,2371219,Xinjiang Bazhou Haermodun 15MW Hydropower Project,85.98611,42.220278,2009,Hydropower,China
1862,2371138,9 MW Wind Energy Farm at Jodhpur Rajasthan by HZL,72.979167,26.739166,2011,Wind,India
1864,2371802,"Philip Wind Partners, LLC",-101.717802,44.264548,,Wind,United States
1865,2371191,Jamanwada Wind Power Project in Gujarat,68.592776,23.400278,2012,Wind,India
1866,2371190,Wind power project in Gujarat,71.186109,22.282218,2011,Wind,India
1867,2371195,Wind Power Project in Rajasthan,70.6809,27.1631,2011,Wind,India
1868,2371800,12 MW Raura Hydro Project by DLI Power,76.375,31.582778,2019,Hydropower,India
1869,237420,"Bundled 13.75 MW Wind Power Project in the state of Rajasthan and Maharashtra, India.",70.857167,26.790833,2006,Wind,India
1871,2371798,Hydroelectric projects at Oibita River,-73.344346,6.27064,,Hydropower,Colombia
1872,2371796,Santa Rosa-Altamira hydroelectric projects,-73.461172,6.088038,,Hydropower,Colombia
1873,2371797,El Molino-San Matias hydroelectric projects,-75.116456,6.037623,2017,Hydropower,Colombia
1874,2371787,Renewable Power Project by Animala Wind Power Private Limited,78.5,14.48,2017,Wind,India
1875,2371788,Renewable Power Project by Saipuram Wind Energies Private Limited,77.210278,14.510278,2017,Wind,India
1876,237760,"Rice Husk Fired Boiler of 8 ton capacity for process steam generation, at Sara Textiles Limited, Baddi, Nalagarh, Himachal Pradesh",76.672777,31.063333,2006,Biomass,India
1879,2371568,"Wind Power Project by ASTRA LIFECARE (INDIA) PRIVATE LIMITED at GUJARAT, INDIA",71.180833,21.95611,,Wind,India
1880,2371790,Renewable Power Project by Axis Wind Farms (MPR Dam) Private Limited,77.429444,14.782222,2017,Wind,India
1881,2371791,Pavagada Solar Renewable Power Project by Greenko Group,77.281811,14.098659,2017,Solar - Centralized,India
1882,2371792,Ghani Solar Renewable Power Project by Greenko Group,78.268,15.663,2017,Solar - Centralized,India
1883,2371793,Renewable Power Project by Devarahipparigi Wind Power Private Limited,75.980605,16.811036,2017,Wind,India
1884,2371782,"Solar PV Power Project by Prayatna Developers Pvt. Ltd. at Bhatinda, Punjab",74.747128,30.20352,2016,Solar - Centralized,India
1885,2371783,72 MWac Ramnad Renewable Energy Project,78.396388,9.311389,2016,Solar - Centralized,India
1886,2371070,Buenos Aires Ceramic Fuel Switching Project,-35.326944,-7.725833,2010,Biomass,Brazil
1888,2371781,MRMPL Wind Power Project,70.737778,26.8125,2012,Wind,India
1889,237250,"Bundled Wind Power Project in Tamil Nadu, India, Co-ordinated by Tamil Nadu Spinning Mills Association(TASMA-V1)",77.662222,8.223055,2006,Wind,India
1890,2371774,Grid-connected Solar PV project in Bokhol,-15.468056,16.511389,2016,Solar - Centralized,Senegal
1892,2371776,Wind Power Project by Green Infra Wind Power Generation Limited,75.712778,15.316387,2016,Wind,India
1893,237982,"Combined cycle natural gas based grid connected power plant at Jegurupadu, India",81.862776,16.928332,,,
1894,2371066,Damlapinar Hydroelectric Power Plant Project,32.777036,37.048199,2010,Hydropower,Turkey
1895,2371388,"Biomass based cogeneration project at Bihar, India",84.783056,26.210556,,Biomass,India
1896,237837,"Natural Gas Based Combined Cycle Power Generation, at Kothapeta, East Godavari, Andhra Pradesh, India",81.549722,17.033053,,,
1897,237198,J L Silva Ceramic Fuel Switching Project,-36.34,-8.6425,2006,Biomass,Brazil
1898,23734,Cavalcante Ceramic fuel switching project,-47.498769,-1.577447,2007,Biomass,Brazil
1899,2371771,46 MW Mangoli Wind Power Project in Karnataka,75.4234,16.463926,2016,Wind,India
1900,2371770,Bundled Solar Power Project by Vector Green Energy Private Limited,78.39,11.7,2016,Solar - Centralized,India
1901,2371167,Shri Bajrang RE Project,81.03568,21.18308,2008,RE Bundled,India
1902,2371038,Chile: Hornitos Hydroelectric Project,-70.148,-32.864,2008,Hydropower,Chile
1903,237144,"Capacity Upgrade of Gunung Salak Geothermal Power Plant Project, Indonesia",106.641111,-6.740556,2009,Geothermal,Indonesia
1904,237764,Yunnan Maguan Laqi Hydropower Project,104.256664,22.741389,2008,Hydropower,China
1905,2371766,Outapi Pv Plant,15.003056,-17.516667,2018,Solar - Centralized,Namibia
1906,237309,"Bundled grid-connected wind electricity generation project identified as Bundle E3 in Maharashtra and Gujarat, India",74.347611,21.364056,2007,Wind,India
1908,2371181,CGN Inner Mongolia Zhurihe Phase II Wind Farm Project,112.800556,42.452778,2010,Wind,China
1909,2371014,Yamanli III Hydoeletric Power Plant,36.113,37.857472,,Hydropower,Turkey
1911,2371762,Bundled Solar Power Project by Solararise India Projects PVT. LTD.,76.218777,18.966639,2016,Solar - Centralized,India
1913,237766,Teesta- V Hydro Power project in Sikkim,88.458055,27.25,2009,Hydropower,India
1914,2371758,Dereli Hydroelectric Power  Plant,38.438054,40.688887,2014,Hydropower,Turkey
1915,237730,Electricity generation from 17.10 MW bundled wind energy project in Maharashtra aggregated by Resurge Energy Private Limited,74.357954,21.228536,2006,Wind,India
1917,237412,"Bundled wind energy generation projects in Gujarat, India",69.170361,22.011389,2007,Wind,India
1918,2371509,Erik 15.02 MW Hydroelectric Power Plant Project,42.29014,41.37111,,Hydropower,Turkey
1919,2371754,"Reading Wind Energy, LLC",-95.9655,38.475,2020,Wind,United States
1921,2371751,"Bundled Wind power project in Tamilnadu, India co-ordinated by the TamilNadu Spinning Mills Association (TASMA)",77.277,10.728611,2009,Wind,India
1923,237249,"Bundled Wind Power Project in Tamilnadu, India, Co-ordinated by Tamilnadu Spinning Mills Association(TASMA-II)",77.307777,11.135555,2006,Wind,India
1925,237290,Lee County Waste To Energy Facility 2007 Capital Expansion Project VCU,-81.762913,26.634841,,,
1928,237483,"Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh, India",77.84722,31.59306,2009,Hydropower,India
1929,2371002,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",82.1175,17.050556,,,
1930,2371746,108 MW Fatanpur Wind Power Project in Madhya Pradesh,76.1641,23.13373,2016,Wind,India
1932,2371744,4 MW Biomass based cogeneration plant by Godrej Agrovet Ltd.,81.692778,17.176389,2018,Biomass,India
1933,2371745,Bundled Solar Power Project by Vector Green Sunshine Private Limited and Polepally Solar Parks Private Limited,75.520278,29.797778,2016,Solar - Centralized,India
1935,2371387,"Biomass Based Co generation Project in Paper Mill at Village Rupana, Punjab, India",74.522498,30.428332,2013,Biomass,India
1936,237913,"Siam Quality Starch Wastewater Treatment and Energy Generation Project in Chaiyaphum, Thailand",101.623332,15.405832,,,
1937,2371741,Yumrutepe Regulator and 15.013 MW Hydroelectric Power Plant Project,38.45,40.853889,2016,Hydropower,Turkey
1938,237918,BALKUSAN HYDROELECTRIC POWER PLANT,32.97859,36.718224,,Hydropower,Turkey
1939,237773,8MW Waste Heat Recovery Based Power Project by Sree Rengaraaj Power India Private Limited,77.547775,11.237213,,,
1940,2371739,3 MW Hydro Power Project by Darjeeling Power Pvt. Ltd.,77.087778,31.42,2016,Hydropower,India
1941,2371737,Pampeana and Terra Santa Small Hydropower Plants Project Activity,-57.91111,-14.792778,2013,Hydropower,Brazil
1942,237550,"1.5 MW Rice Husk Based Cogeneration Project at Rajaram Maize Products, Mohad, Dist. Rajnandgaon (CG), India",81.08333,21.08333,,Biomass,India
1943,2371734,Large scale grid connected solar PV Project in Toujounine (Nouakchott),-15.890278,18.091666,2017,Solar - Centralized,Mauritania
